origin,destination,distance
CHS,EWR,628.0
DTW,MCI,629.0
MCI,DTW,629.0
IAD,JAX,630.0
SPI,DFW,630.0
PDX,SLC,630.0
DFW,SPI,630.0
SLC,PDX,630.0
JAX,IAD,630.0
DFW,BNA,631.0
LAN,ATL,631.0
ATL,LAN,631.0
EWR,TYS,631.0
TYS,EWR,631.0
BNA,DFW,631.0
CLT,FLL,631.7354158825743
FLL,CLT,631.7355154251317
RDU,MDW,632.0
BOS,DTW,632.0
ORD,AVP,632.0
DTW,BOS,632.0
AVP,ORD,632.0
MDW,RDU,632.0
MLI,ATL,633.0
ATL,MLI,633.0
STL,ECP,634.0
MKE,DCA,634.0
DCA,JAX,634.0
JAX,DCA,634.0
ECP,STL,634.0
DCA,MKE,634.0
CHS,JFK,636.0
MYR,DTW,636.0
DTW,MYR,636.0
JFK,CHS,636.0
GSP,MIA,637.0
DEN,SGF,637.0
MIA,GSP,637.0
SGF,DEN,637.0
EWR,SBN,637.0
SBN,EWR,637.0
DVL,DEN,638.0
TUS,DEN,639.0
DEN,TUS,639.0
BOS,CMH,640.0
ATL,GRR,640.0
CMH,BOS,640.0
GRR,ATL,640.0
DFW,VPS,641.0
DFW,DEN,641.0
BWI,MKE,641.0
MKE,BWI,641.0
VPS,DFW,641.0
LGA,CHS,641.0
DEN,DFW,641.0
CHS,LGA,641.0
SDF,EWR,642.0
EWR,SDF,642.0
DFW,EVV,642.0
RIC,ORD,642.0
EVV,DFW,642.0
ORD,RIC,642.0
MCI,IAH,643.0
IAH,MCI,643.0
CLT,BDL,644.0
TVC,EWR,644.0
BDL,CLT,644.0
EWR,TVC,644.0
EWR,IND,645.0
FNT,ATL,645.0
IND,EWR,645.0
ATL,FNT,645.0
CLT,ALB,646.0
ATL,EYW,646.0
ALB,CLT,646.0
EYW,ATL,646.0
RDU,ORD,646.0
ORD,RDU,646.0
PHX,OAK,646.0
OAK,PHX,646.0
SMF,PHX,647.0
TYS,LGA,647.0
LGA,TYS,647.0
PHX,SMF,647.0
DEN,BOI,649.0
BOI,DEN,649.0
CLT,MIA,650.0
MYR,IAG,650.0
IAG,MYR,650.0
MIA,CLT,650.0
MCI,AUS,650.0
MSP,LEX,650.0
LEX,MSP,650.0
DAL,DEN,651.0
MSY,CLT,651.0
DEN,DAL,651.0
CLT,MSY,651.0
SFO,PHX,651.0
DTW,OMA,651.0
PHX,SFO,651.0
OMA,DTW,651.0
ORD,ABE,654.2735849056604
ABE,ORD,654.2739541160594
MCO,ORF,655.0
TVC,LGA,655.0
ORF,MCO,655.0
LGA,TVC,655.0
TPA,MEM,655.0
MEM,TPA,655.0
BNA,IAH,657.0
IAH,BNA,657.0
IAD,UST,658.0
UST,IAD,658.0
LGA,SDF,659.0
SDF,LGA,659.0
LGA,IND,660.0
IND,LGA,660.0
CVG,BDL,661.0
BHM,MIA,661.0
BDL,CVG,661.0
MIA,BHM,661.0
JAX,BWI,663.0
BWI,JAX,663.0
SEA,BIL,664.0
BIL,SEA,664.0
IND,JFK,665.0
JFK,IND,665.0
PHL,ATL,666.0
MCI,HOU,666.0
HOU,MCI,666.0
ATL,PHL,666.0
MTJ,LAX,666.0
LAX,MTJ,666.0
CAE,ORD,666.7411944869832
ORD,CAE,666.7423312883435
MCO,RIC,667.0
IAH,ELP,667.0
ELP,IAH,667.0
DTW,CHS,667.0
RDU,STL,667.0
IAH,STL,667.0
STL,IAH,667.0
CHS,DTW,667.0
RIC,MCO,667.0
STL,RDU,667.0
PWM,DTW,668.0
MDW,PHL,668.0
DTW,PWM,668.0
PHL,MDW,668.0
MKE,ATL,669.0
ATL,MKE,669.0
HOU,BNA,670.0
BNA,HOU,670.0
OAK,SEA,671.778247393632
SEA,OAK,671.7787759685569
DFW,PIA,672.0
PIA,DFW,672.0
ECP,DAL,674.0
ATL,TUL,674.0
FLL,MSY,674.0
LAX,BOI,674.0
DRO,DFW,674.0
DAL,ECP,674.0
BOI,LAX,674.0
MSY,FLL,674.0
TUL,ATL,674.0
DFW,DRO,674.0
PHL,BNA,675.0
BNA,PHL,675.0
MIA,MSY,675.0
MSY,MIA,675.0
ELP,HOU,677.0
HOU,ELP,677.0
ORD,JAN,677.0
JAN,ORD,677.0
LAX,ABQ,677.0
ABQ,LAX,677.0
ORD,PHL,678.0
GUC,DFW,678.0
LGA,AGS,678.0
PHL,ORD,678.0
DFW,GUC,678.0
AGS,LGA,678.0
SFO,SEA,679.0
SEA,SFO,679.0
ATL,ACY,679.0
DEN,MSO,679.0
MSO,DEN,679.0
ACY,ATL,679.0
KTN,SEA,680.0
DEN,MSP,680.0
RDU,FLL,680.0
FLL,RDU,680.0
SEA,KTN,680.0
MSP,DEN,680.0
BWI,BHM,682.0
BHM,BWI,682.0
TTN,MDW,683.0
ATL,MBS,683.0
CLT,PVD,683.0
MDW,TTN,683.0
MBS,ATL,683.0
PVD,CLT,683.0
MCO,MEM,684.0
MEM,MCO,684.0
IAD,MSN,684.0
DFW,CID,685.0
CID,DFW,685.0
STL,HOU,687.0
HOU,STL,687.0
SEA,SLC,689.0
ATL,IAH,689.0
MSY,MCI,689.0
IAH,ATL,689.0
SLC,SEA,689.0
MCI,MSY,689.0
BMI,DFW,690.0
DFW,BMI,690.0
OKC,MDW,691.0
MDW,OKC,691.0
DFW,MLI,691.0
MLI,DFW,691.0
ATL,ABE,692.0
ATL,MCI,692.0
ABE,ATL,692.0
MCI,ATL,692.0
CID,DEN,692.0
DEN,CID,692.0
DFW,CMI,692.2479338842975
CMI,DFW,692.2479338842975
OKC,ORD,693.0
ORD,TTN,693.0
TTN,ORD,693.0
ORD,OKC,693.0
ATL,CID,694.0
MSP,OKC,694.0
OKC,MSP,694.0
CID,ATL,694.0
DFW,CHA,695.0
MSP,BNA,695.0
CHA,DFW,695.0
BNA,MSP,695.0
IAD,STL,696.0
HOU,ATL,696.0
ATL,HOU,696.0
STL,IAD,696.0
SEA,SJC,697.0
SJC,SEA,697.0
RDU,MIA,700.0
MEM,MSP,700.0
MIA,RDU,700.0
MSP,MEM,700.0
TTN,MKE,701.0
ASE,DFW,701.0
TTN,ATL,701.0
MKE,TTN,701.0
DFW,ASE,701.0
ATL,TTN,701.0
MDW,ORF,704.0
ORF,MDW,704.0
DTW,LIT,705.0
LIT,DTW,705.0
SAV,DTW,705.0
DTW,SAV,705.0
BNA,TTN,706.0
TTN,BNA,706.0
MSN,ATL,707.0
ATL,MSN,707.0
CLT,SGF,708.0
EWR,SAV,708.0
SGF,CLT,708.0
SAV,EWR,708.0
SAF,LAX,710.0
LAX,SAF,710.0
GSO,MIA,710.0
MIA,GSO,710.0
MDW,EWR,711.0
EWR,MDW,711.0
ATL,BUF,712.0
BUF,ATL,712.0
ATL,AVP,714.0
AVP,ATL,714.0
ELP,LAX,715.0
LAX,ELP,715.0
ORD,BIS,716.0
BIS,ORD,716.0
ELM,ATL,717.0
MDW,ALB,717.0
ORD,ORF,717.0
TPA,ORF,717.0
ALB,MDW,717.0
ORF,ORD,717.0
ATL,ELM,717.0
ORF,TPA,717.0
JFK,SAV,718.0
MCI,ABQ,718.0
ABQ,MCI,718.0
SAV,JFK,718.0
STL,DCA,719.0
DCA,STL,719.0
EWR,ORD,719.0
ORD,EWR,719.0
MCO,SDF,719.0
SDF,MCO,719.0
ACY,ORD,720.0
ORD,ACY,720.0
EGE,DFW,721.0
DFW,EGE,721.0
STL,AUS,721.0
ATL,DAL,721.0
AUS,STL,721.0
DAL,ATL,721.0
LGA,SAV,722.0
DFW,MTJ,722.0
SAV,LGA,722.0
RSW,BNA,722.0
MTJ,DFW,722.0
BNA,RSW,722.0
ALB,ORD,723.0
OAK,GEG,723.0
ORD,ALB,723.0
GEG,OAK,723.0
ANC,BRW,725.0
BRW,ANC,725.0
MDW,LGA,725.0
MKE,EWR,725.0
LGA,MDW,725.0
EWR,MKE,725.0
LAX,RDM,726.0
RDM,LAX,726.0
MSP,PIT,726.0
PIT,MSP,726.0
TPA,SDF,727.0
SDF,TPA,727.0
CLT,BOS,728.0
BOS,CLT,728.0
DFW,ATL,731.0
ATL,DFW,731.0
DFW,SDF,733.0
ORD,LGA,733.0
SDF,DFW,733.0
LGA,ORD,733.0
BUF,MSP,735.0
PHX,BOI,735.0
MSP,BUF,735.0
BOI,PHX,735.0
LAX,ASE,737.0
ASE,LAX,737.0
SFO,JAC,737.0
DFW,FSD,737.0
FSD,DFW,737.0
JAC,SFO,737.0
STL,BWI,738.0
LGA,MKE,738.0
ORD,HPN,738.0
MYR,BOS,738.0
BOS,MYR,738.0
MKE,LGA,738.0
BWI,STL,738.0
HPN,ORD,738.0
JFK,ORD,740.0
ORD,JFK,740.0
PHL,JAX,742.0
IAD,MEM,742.0
JAX,PHL,742.0
MEM,IAD,742.0
ATL,DSM,743.0
DSM,ATL,743.0
IAH,ABQ,744.0
ABQ,IAH,744.0
MDW,CHS,745.0
CHS,MDW,745.0
EWR,ATL,746.0
ATL,EWR,746.0
LAX,EGE,748.0
EUG,LAX,748.0
LAX,EUG,748.0
EWR,BNA,748.0
BNA,EWR,748.0
SEA,FAT,748.0
BIL,MSP,748.0
MSP,BIL,748.0
EGE,LAX,748.0
FAT,SEA,748.0
ATL,ROC,749.0
SAN,BOI,749.0
ROC,ATL,749.0
BOI,SAN,749.0
BGR,DTW,750.0
DTW,BGR,750.0
SFO,TUS,751.0
TUS,SFO,751.0
BOS,CVG,752.0
DEN,MLI,752.0
FCA,DEN,752.0
DEN,FCA,752.0
MLI,DEN,752.0
CVG,BOS,752.0
ORD,MYR,753.0
MYR,ORD,753.0
IND,DAL,755.0
DAL,IND,755.0
AUS,BNA,756.0
BNA,AUS,756.0
CVG,MCO,757.0
MCO,CVG,757.0
AMA,LAS,758.0
MCO,IAD,758.0
IAD,MCO,758.0
LAS,AMA,758.0
ABQ,HOU,759.0
DCA,MCO,759.0
HOU,ABQ,759.0
MCO,DCA,759.0
ATL,JFK,760.0
JFK,ATL,760.0
ORD,CHS,760.0
CHS,ORD,760.0
DFW,IND,761.0
IND,DFW,761.0
OKC,ATL,761.0
ATL,OKC,761.0
ATL,LGA,762.0
LGA,ATL,762.0
BTV,ORD,763.0
HDN,LAX,763.0
LAX,HDN,763.0
PDX,LAS,763.0
LAS,PDX,763.0
ORD,BTV,763.0
LGA,BNA,764.0
BNA,LGA,764.0
ATL,ATW,765.0
JFK,BNA,765.0
BNA,JFK,765.0
ATW,ATL,765.0
DFW,TLH,767.0
TLH,DFW,767.0
ATL,TVC,769.0
TVC,ATL,769.0
MSO,SFO,769.0
DFW,HDN,769.0
SFO,MSO,769.0
HDN,DFW,769.0
STL,DEN,770.0
DEN,STL,770.0
DEN,LIT,771.0
LIT,DEN,771.0
TYS,IAH,771.0
IAH,TYS,771.0
DFW,TYS,771.7471846846847
TYS,DFW,771.7474633596393
TPA,CVG,773.0
DFW,GJT,773.0
CVG,TPA,773.0
ORD,SAV,773.0
GJT,DFW,773.0
SAV,ORD,773.0
ATL,GRB,774.0
GRB,ATL,774.0
DEN,AUS,775.0
LBB,LAS,775.0
LAS,LBB,775.0
AUS,DEN,775.0
DEN,PSP,776.0
PSP,DEN,776.0
BDL,MDW,777.0
MDW,BDL,777.0
MOB,ORD,778.7484076433121
ORD,MOB,778.7507987220447
RAP,ORD,779.0
ORD,RAP,779.0
ATL,HPN,780.0
DEN,MMH,780.0
HPN,ATL,780.0
MMH,DEN,780.0
TPA,HOU,781.0
HOU,TPA,781.0
IAH,OMA,781.0
MDW,PNS,781.0
OMA,IAH,781.0
PNS,MDW,781.0
ICT,ATL,782.0
ATL,ICT,782.0
ORD,BDL,783.0
BDL,ORD,783.0
MSP,ROC,783.0
ROC,MSP,783.0
PDX,SBA,784.0
LAX,JAC,784.0
JAC,LAX,784.0
SBA,PDX,784.0
DFW,LEX,785.0
LEX,DFW,785.0
STL,SAT,786.0
SAT,STL,786.0
MCO,BWI,787.0
BWI,MCO,787.0
TPA,IAH,787.0
MEM,BWI,787.0
BWI,MEM,787.0
IAH,TPA,787.0
IAH,SDF,788.0
MSP,EGE,788.0
SDF,IAH,788.0
EGE,MSP,788.0
DTW,TUL,789.0
TUL,DTW,789.0
MTJ,SFO,791.0
SFO,MTJ,791.0
DEN,SHV,792.0
SHV,DEN,792.0
BNA,FLL,793.0
DEN,PIA,793.0
DAL,MDW,793.0
MDW,DAL,793.0
PIA,DEN,793.0
FLL,BNA,793.0
ORD,PNS,794.0
SYR,ATL,794.0
DEN,SAT,794.0
ATL,SYR,794.0
SAT,DEN,794.0
PNS,ORD,794.0
MAF,LAS,795.0
LAS,MAF,795.0
ECP,BWI,798.0
BWI,ECP,798.0
MSN,EWR,799.0
EWR,MSN,799.0
TTN,UST,801.0
TYS,CLL,801.0
UST,TTN,801.0
PIA,IAH,802.0
DFW,ORD,802.0
IAH,DSM,802.0
CMH,MCO,802.0
MCO,CMH,802.0
ORF,MIA,802.0
DSM,IAH,802.0
MIA,ORF,802.0
ORD,DFW,802.0
IAH,PIA,802.0
ASE,MSP,802.0
MSP,ASE,802.0
GRK,ATL,803.0
ATL,GRK,803.0
DEN,RNO,804.0
RNO,DEN,804.0
FLL,RIC,805.0
RIC,FLL,805.0
MIA,BNA,806.0
BNA,MIA,806.0
GEG,LAS,806.0
MSY,CMH,806.0
LAS,GEG,806.0
BZN,SFO,807.0
SFO,BZN,807.0
MCO,DAY,808.0
DAY,MCO,808.0
MCI,CLT,808.0
CLT,MCI,808.0
COS,IAH,809.0
IAH,COS,809.0
MYR,PBG,811.0
PBG,MYR,811.0
IAD,TPA,811.0
TPA,IAD,811.0
CVG,DFW,812.0
MSN,LGA,812.0
DFW,CVG,812.0
LGA,MSN,812.0
ATL,AUS,813.0
DTW,JAX,813.0
PWM,CLT,813.0
CLT,PWM,813.0
JAX,DTW,813.0
AUS,ATL,813.0
DFW,TUS,813.0
TUS,DFW,813.0
STL,PHL,814.0
TPA,DCA,814.0
PHL,STL,814.0
DCA,TPA,814.0
DCA,PNS,816.0
PNS,DCA,816.0
HOU,JAX,816.0
JAX,HOU,816.0
BUR,PDX,817.0
IAH,JAX,817.0
JAX,IAH,817.0
PDX,BUR,817.0
BOS,IND,818.0
CHS,BOS,818.0
BOS,CHS,818.0
IND,BOS,818.0
DEN,ONT,819.0
ONT,DEN,819.0
EWR,JAX,820.0
JAX,EWR,820.0
IAH,AGS,821.0
MSN,DFW,821.0
DFW,MSN,821.0
OMA,ATL,821.0
ATL,OMA,821.0
BNA,SAT,822.0
SAT,BNA,822.0
MCO,LBE,824.0
LBE,MCO,824.0
MDW,MSY,825.0
RIC,MIA,825.0
MIA,RIC,825.0
MSY,MDW,825.0
DEN,MSN,826.0
MSN,DEN,826.0
TPA,DAY,828.0
JAX,JFK,828.0
IAH,LEX,828.0
LEX,IAH,828.0
JFK,JAX,828.0
DAY,TPA,828.0
IND,MCO,829.0
MCO,IND,829.0
CMH,TPA,829.0
TPA,CMH,829.0
ATL,RST,831.0
RST,ATL,831.0
JAX,LGA,833.0
COS,LAX,833.0
PHX,OKC,833.0
LGA,JAX,833.0
OKC,PHX,833.0
LAX,COS,833.0
MCO,PIT,834.0
DEN,BMI,834.0
BMI,DEN,834.0
PIT,MCO,834.0
LAX,PDX,834.0
PDX,LAX,834.0
RAP,DFW,835.0
DFW,RAP,835.0
DEN,GEG,836.0
GEG,DEN,836.0
IND,TPA,837.0
IAH,GSP,837.0
TPA,IND,837.0
STL,TTN,837.0
MSY,ORD,837.0
TTN,STL,837.0
GSP,IAH,837.0
ORD,MSY,837.0
SFO,HDN,838.0
PDX,ONT,838.0
MHT,MDW,838.0
HDN,SFO,838.0
MDW,MHT,838.0
ONT,PDX,838.0
SLC,OMA,840.0
OMA,SLC,840.0
MCO,ILG,841.0
ILG,MCO,841.0
LNK,ATL,841.0
ATL,LNK,841.0
MDW,PVD,842.0
TPA,BWI,842.0
BWI,TPA,842.0
PVD,MDW,842.0
ORD,MHT,843.0
SAT,PHX,843.0
MHT,ORD,843.0
PHX,SAT,843.0
IND,IAH,844.0
DEN,FAT,844.0
FAT,DEN,844.0
IAH,IND,844.0
BFL,DEN,845.0
GSP,HOU,845.0
DEN,BFL,845.0
HOU,GSP,845.0
DEN,SNA,846.0
SNA,DEN,846.0
PDX,LGB,846.0
LGB,PDX,846.0
SFO,ASE,848.0
ASE,SFO,848.0
MDW,JAX,849.0
ORD,PVD,849.0
PVD,ORD,849.0
HOU,MCO,849.0
JAX,MDW,849.0
MCO,HOU,849.0
DEN,BUR,850.0
MKE,DAL,850.0
BUR,DEN,850.0
DAL,MKE,850.0
MCO,MDT,851.0
MDT,MCO,851.0
IAH,SAV,851.0
SAV,IAH,851.0
ACY,MCO,852.0
MSP,DFW,852.0
MCO,ACY,852.0
DEN,PSC,852.0
PSC,DEN,852.0
DFW,MSP,852.0
ATL,ALB,853.0
RSW,HOU,853.0
MKE,DFW,853.0
SAN,DEN,853.0
DEN,SAN,853.0
DFW,MKE,853.0
HOU,RSW,853.0
ALB,ATL,853.0
MCO,IAH,854.0
IAH,MCO,854.0
PBI,DCA,857.0
DCA,PBI,857.0
BDL,ATL,859.0
SNA,PDX,859.0
MIA,MEM,859.0
ATL,BDL,859.0
PBI,IAD,859.0
IAD,PBI,859.0
MEM,MIA,859.0
DFW,FWA,859.0
PDX,SNA,859.0
FWA,DFW,859.0
MSP,SYR,860.0
SYR,MSP,860.0
MKE,BOS,860.0
BOS,MKE,860.0
PHL,MCO,861.0
HOU,IND,861.0
DAY,DFW,861.0
SIT,SEA,861.0
MDW,BOS,861.0
IND,HOU,861.0
MCO,PHL,861.0
RSW,IAH,861.0
CAK,MCO,861.0
DFW,DAY,861.0
BOS,MDW,861.0
SEA,SIT,861.0
IAH,RSW,861.0
MCO,CAK,861.0
IAH,DEN,862.0
DEN,IAH,862.0
DEN,LAX,862.0
LAX,DEN,862.0
DFW,GSP,862.0
GSP,DFW,862.0
JAX,ORD,864.0
ORD,JAX,864.0
BHM,LGA,866.0
LGA,BHM,866.0
SLC,FAR,866.0
OKC,SLC,866.0
TPA,LBE,866.0
LBE,TPA,866.0
FAR,SLC,866.0
SLC,OKC,866.0
ORD,BOS,867.0
SEA,LAS,867.0
LAS,SEA,867.0
BOS,ORD,867.0
PHX,DFW,868.0
DFW,PHX,868.0
STL,TPA,869.0
TPA,STL,869.0
IAH,CVG,871.0
CVG,IAH,871.0
EWR,STL,872.0
MSP,JAC,872.0
STL,EWR,872.0
PHX,AUS,872.0
DEN,MEM,872.0
AUS,PHX,872.0
JAC,MSP,872.0
MEM,DEN,872.0
PSP,PDX,873.0
PIT,TPA,873.0
PDX,PSP,873.0
TPA,PIT,873.0
ATL,SAT,874.0
MSP,BZN,874.0
BZN,MSP,874.0
SAT,ATL,874.0
CRP,ATL,876.0
CAE,IAH,878.0
IAH,CAE,878.0
PHX,DAL,879.0
CVG,RSW,879.0
DAL,PHX,879.0
RSW,CVG,879.0
MCO,STL,882.0
STL,MCO,882.0
BWI,PBI,883.0
PBI,BWI,883.0
DEN,HOU,883.0
HOU,DEN,883.0
IAH,GUC,886.0
GUC,IAH,886.0
MSP,GTF,887.0
GTF,MSP,887.0
ORD,DEN,888.0
STL,LGA,888.0
DEN,ORD,888.0
LGA,STL,888.0
ABQ,OAK,889.0
OAK,ABQ,889.0
SEA,HDN,891.0
HDN,SEA,891.0
IAD,RSW,891.0
RSW,IAD,891.0
DCA,RSW,892.0
RSW,DCA,892.0
TPA,CAK,894.0
CAK,TPA,894.0
PWM,MDW,895.0
MCO,CLE,895.0
MDW,PWM,895.0
MDW,DEN,895.0
CLE,MCO,895.0
DEN,MDW,895.0
MKE,DEN,896.0
MCO,TTN,896.0
SFO,ABQ,896.0
DEN,MKE,896.0
TTN,MCO,896.0
ABQ,SFO,896.0
RDM,DEN,898.0
DEN,RDM,898.0
FLL,DCA,899.0
ILG,TPA,899.0
TPA,ILG,899.0
DCA,FLL,899.0
ORD,PWM,900.0
OKC,DTW,900.0
PWM,ORD,900.0
DTW,OKC,900.0
IAD,FLL,901.0
SAV,BOS,901.0
BOS,SAV,901.0
FLL,IAD,901.0
BZN,LAX,902.0
LAX,BZN,902.0
ATL,PVD,903.0
PVD,ATL,903.0
MSY,MKE,903.0
MKE,MSY,903.0
ATL,MSP,907.0
MSP,ATL,907.0
SEA,SBA,908.0
IAD,MSP,908.0
SBA,SEA,908.0
MSP,IAD,908.0
DEN,SMF,909.0
SEA,JNU,909.0
SMF,DEN,909.0
JNU,SEA,909.0
COS,ORD,911.0
ORD,COS,911.0
LIT,BWI,912.0
BWI,LIT,912.0
IAH,CLT,912.0
CLT,IAH,912.0
TPA,ACY,913.0
IAH,ASE,913.0
ASE,IAH,913.0
HLN,MSP,913.0
MSP,HLN,913.0
ACY,TPA,913.0
DEN,SBA,916.0
SBA,DEN,916.0
TPA,DAL,917.0
DAL,TPA,917.0
JAX,DFW,918.0
DFW,JAX,918.0
MIA,DCA,919.0
DAL,CMH,919.0
DCA,MIA,919.0
RSW,BWI,919.0
CMH,DAL,919.0
BWI,RSW,919.0
MCI,SLC,920.0
HOU,CLT,920.0
TPA,PHL,920.0
CLT,HOU,920.0
PHL,TPA,920.0
SLC,MCI,920.0
MIA,IAD,921.0
IAD,MIA,921.0
DFW,CAE,922.0
CAE,DFW,922.0
FLL,BWI,925.0
DFW,SAV,925.0
BWI,FLL,925.0
ORD,IAH,925.0
CHS,IAH,925.0
IAH,ORD,925.0
SAV,DFW,925.0
IAH,CHS,925.0
CMH,DFW,926.0
MSY,DTW,926.0
SLC,TUL,926.0
MCI,IAD,926.0
DAL,CLT,926.0
IAD,MCI,926.0
CLT,DAL,926.0
TUL,SLC,926.0
DFW,CMH,926.0
DTW,MSY,926.0
TPA,CLE,927.0
MTJ,IAH,927.0
CLE,TPA,927.0
IAH,MTJ,927.0
AUS,TPA,928.0
HOU,CHS,928.0
TPA,AUS,928.0
CHS,HOU,928.0
TPA,DFW,929.0
DFW,TPA,929.0
RSW,CMH,930.0
CMH,RSW,930.0
MSP,CLT,930.0
CLT,MSP,930.0
GRR,DFW,931.0
DCA,MSP,931.0
MSP,DCA,931.0
DFW,GRR,931.0
FLL,CVG,932.0
BOS,MSN,932.0
MSN,BOS,932.0
CVG,FLL,932.0
PDX,SAN,933.0
SAN,PDX,933.0
EGE,IAH,934.0
IAH,EGE,934.0
PHX,TUL,935.0
TUL,PHX,935.0
BMI,MCO,936.0
MSP,BWI,936.0
IAH,TUS,936.0
ACY,PBI,936.0
DFW,CLT,936.0
PBI,ACY,936.0
TUS,IAH,936.0
MCO,BMI,936.0
CLT,DFW,936.0
BWI,MSP,936.0
HOU,MDW,937.0
MDW,HOU,937.0
MCO,EWR,937.0
EWR,MCO,937.0
BUR,SEA,937.0
SEA,BUR,937.0
IDA,MSP,939.0
MSP,IDA,939.0
BNA,BOS,942.0
BOS,BNA,942.0
MCO,JFK,944.0
JFK,MCO,944.0
LAX,GEG,945.0
TUS,HOU,945.0
IND,RSW,945.0
HOU,TUS,945.0
RSW,IND,945.0
GEG,LAX,945.0
MEM,EWR,946.0
EWR,MEM,946.0
BWI,MIA,946.0
BOS,ATL,946.0
MIA,BWI,946.0
ATL,BOS,946.0
CRW,DFW,946.0
DFW,CRW,946.0
DEN,SJC,948.0
CVG,MIA,948.0
MIA,CVG,948.0
SJC,DEN,948.0
DCA,MCI,949.0
MCI,DCA,949.0
LGA,MCO,950.0
MCO,LGA,950.0
PHL,PBI,951.0
PBI,PHL,951.0
ATL,MHT,952.0
PIT,PBI,952.0
PBI,PIT,952.0
MHT,ATL,952.0
SBN,IAH,953.0
FSD,ATL,954.0
SEA,LAX,954.0
LAS,BLI,954.0
ATL,FSD,954.0
BLI,LAS,954.0
LAX,SEA,954.0
DSM,SLC,955.0
SLC,DSM,955.0
TTN,TPA,955.0
TPA,TTN,955.0
MSY,IAD,955.0
IAD,MSY,955.0
LBE,RSW,956.0
RSW,LBE,956.0
ONT,SEA,956.0
PBI,IAH,956.0
IAH,PBI,956.0
SEA,ONT,956.0
DTW,MCO,957.0
OAK,DEN,957.0
FLL,HOU,957.0
MCO,DTW,957.0
HOU,FLL,957.0
DEN,OAK,957.0
BTV,ATL,961.0
ATL,BTV,961.0
MEM,LGA,963.0
LGA,MEM,963.0
COS,SFO,964.0
MFR,DEN,964.0
SFO,COS,964.0
DEN,MFR,964.0
IAH,MIA,964.0
MIA,IAH,964.0
LGB,SEA,965.0
SEA,LGB,965.0
FLL,IAH,965.740631163708
IAH,FLL,965.7414898865318
RSW,PIT,966.0
MSN,IAH,966.0
IAH,MSN,966.0
PIT,RSW,966.0
DEN,SFO,967.0
SFO,DEN,967.0
BWI,MCI,967.0
MCI,BWI,967.0
FAR,DFW,968.0
DFW,FAR,968.0
MSY,DCA,969.0
DCA,MSY,969.0
RIC,MSP,970.0
MSP,RIC,970.0
MCO,ISP,971.0
ISP,MCO,971.0
HPN,MCO,972.0
TPA,SAT,972.0
SAT,TPA,972.0
AUS,MDW,972.0
MDW,AUS,972.0
MCO,HPN,972.0
MCO,DAL,973.0
DAL,MCO,973.0
FLL,CMH,973.0
CMH,FLL,973.0
CRW,IAH,975.0
IAH,CRW,975.0
CHS,DAL,977.0
ACY,FLL,977.0
IND,DEN,977.0
DEN,IND,977.0
BIS,DFW,977.0
DAL,CHS,977.0
FLL,ACY,977.0
DFW,BIS,977.0
ORD,AUS,977.7322580645161
AUS,ORD,977.748502994012
LFT,DEN,978.0
DEN,LFT,978.0
SNA,SEA,978.0
SEA,SNA,978.0
GJT,IAH,979.0
RSW,STL,979.0
STL,RSW,979.0
IAH,GJT,979.0
FLL,LBE,980.0
ALB,MSP,980.0
MSP,RDU,980.0
PHL,MSP,980.0
MSP,ALB,980.0
RDU,MSP,980.0
LBE,FLL,980.0
MSP,PHL,980.0
DAL,DTW,981.0
DTW,DAL,981.0
ABQ,MSP,981.0
MSP,ABQ,981.0
RSW,ACY,982.0
ACY,RSW,982.0
BQN,FLL,982.2146892655368
FLL,BQN,982.2191011235955
DTW,TPA,983.0
TPA,DTW,983.0
MKE,IAH,984.0
IAH,MKE,984.0
BTR,DCA,985.0
TTN,PBI,985.0
DFW,MCO,985.0
IAH,HDN,985.0
MCO,DFW,985.0
HDN,IAH,985.0
PBI,TTN,985.0
DCA,BTR,985.0
LAS,OKC,986.0
LAS,ICT,986.0
OKC,LAS,986.0
CMH,IAH,986.0
DTW,DFW,986.0
ICT,LAS,986.0
DFW,DTW,986.0
IAH,CMH,986.0
PSP,SEA,987.0
SEA,PSP,987.0
CHS,DFW,987.0
DFW,CHS,987.0
DFW,SLC,989.0
SLC,DFW,989.0
SWF,MCO,989.0
TTN,MSP,989.0
MSP,TTN,989.0
MCO,SWF,989.0
CMH,MIA,990.0
MIA,CMH,990.0
SBN,COS,990.0
MCO,MDW,990.0
MDW,MCO,990.0
MSP,SLC,991.0
SLC,MSP,991.0
DEN,PDX,991.0
PDX,DEN,991.0
CAK,RSW,991.0
RSW,CAK,991.0
FLL,PHL,992.0
PHL,FLL,992.0
PHL,RSW,993.0
RSW,PHL,993.0
MCO,AUS,994.0
FLL,PIT,994.0
PIT,FLL,994.0
AUS,MCO,994.0
DEN,EUG,996.0
EUG,DEN,996.0
MDW,TPA,997.0
EWR,TPA,997.0
TPA,MDW,997.0
TPA,EWR,997.0
BWI,MSY,998.0
MSY,BWI,998.0
SLC,DAL,999.0
GSO,DFW,999.0
DFW,GSO,999.0
DAL,SLC,999.0
XNA,SLC,1004.0
SLC,XNA,1004.0
IND,FLL,1005.0
TPA,JFK,1005.0
ORD,MCO,1005.0
FLL,IND,1005.0
MCO,ORD,1005.0
JFK,TPA,1005.0
ORD,EGE,1007.0
EGE,ORD,1007.0
EWR,MSP,1008.0
